Location name,Amount spent (AUD)
Australian Capital Territory,532
Jervis Bay Territory,≤100
New South Wales,9627
Northern Territory,237
Queensland,4585
South Australia,1572
Tasmania,597
Unknown,≤100
Victoria,5290
Western Australia,2146
