Location name,Amount spent (PKR)
Azad Kashmir,1060
Balochistan,1787
Federally Administered Tribal Areas,249
Gilgit-Baltistan,742
Islamabad Capital Territory,2215
Khyber Pakhtunkhwa,8125
Punjab,29050
Sindh,623022
Unknown,≤100
