Location name,Amount spent (DKK)
Capital Region of Denmark,38099
Central Denmark Region,21208
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9122
Region of Southern Denmark,19441
Unknown,≤100
Zealand Region,13105
