Location name,Amount spent (TRY)
Adana Province,1465
Adıyaman Province,199
Afyonkarahisar Province,315
Aksaray Province,159
Amasya Province,≤100
Ankara Province,2071
Antalya Province,1751
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,458
Ağrı Province,≤100
Balıkesir Province,486
Bartın Province,≤100
Batman Province,181
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,151
Burdur Province,≤100
Bursa Province,1158
Denizli Province,355
Diyarbakır Province,568
Düzce Province,190
Edirne Province,320
Elazığ Province,137
Erzincan Province,≤100
Erzurum Province,146
Eskişehir Province,598
Gaziantep Province,799
Giresun Province,136
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,953
Isparta Province,140
Istanbul Province,8061
Iğdır Province,≤100
Kahramanmaraş Province,455
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,840
Kilis Province,≤100
Kocaeli Province,410
Konya Province,540
Kütahya Province,142
Kırklareli Province,105
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,268
Manisa Province,449
Mardin Province,192
Mersin Province,818
Muğla Province,391
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,228
Osmaniye Province,212
Rize Province,101
Sakarya Province,693
Samsun Province,525
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,127
Tekirdağ Province,295
Tokat Province,129
Trabzon Province,223
Tunceli Province,≤100
Unknown,≤100
Uşak Province,134
Van Province,151
Yalova Province,≤100
Yozgat Province,111
Zonguldak Province,202
Çanakkale Province,173
Çankırı Province,≤100
Çorum Province,196
İzmir Province,2032
Şanlıurfa Province,413
Şırnak Province,≤100
