Location name,Amount spent (JPY)
Aichi Prefecture,33913
Akita Prefecture,2368
Aomori Prefecture,4125
Chiba Prefecture,34780
Ehime Prefecture,3731
Fukui Prefecture,2341
Fukuoka Prefecture,44248
Fukushima Prefecture,5727
Gifu Prefecture,6149
Gunma Prefecture,5898
Hiroshima Prefecture,8344
Hokkaido,16021
Hyōgo Prefecture,26660
Ibaraki Prefecture,8060
Ishikawa Prefecture,4079
Iwate Prefecture,5699
Kagawa Prefecture,4563
Kagoshima Prefecture,4260
Kanagawa Prefecture,64717
Kumamoto Prefecture,6556
Kyoto Prefecture,14539
Kōchi Prefecture,1503
Mie Prefecture,4432
Miyagi Prefecture,13874
Miyazaki Prefecture,2776
Nagano Prefecture,5953
Nagasaki Prefecture,4284
Nara Prefecture,4687
Niigata Prefecture,5063
Okayama Prefecture,9781
Okinawa Prefecture,10138
Osaka Prefecture,54953
Saga Prefecture,3871
Saitama Prefecture,28495
Shiga Prefecture,5145
Shimane Prefecture,1482
Shizuoka Prefecture,12718
Tochigi Prefecture,5957
Tokushima Prefecture,2369
Tokyo,97698
Tottori Prefecture,1368
Toyama Prefecture,2438
Unknown,≤100
Wakayama Prefecture,2725
Yamagata Prefecture,4311
Yamaguchi Prefecture,3854
Yamanashi Prefecture,2190
Ōita Prefecture,4840
