Location name,Amount spent (ARS)
Buenos Aires,1922199
Catamarca,55586
Chaco,115823
Chubut,128116
Ciudad Autónoma de Buenos Aires,580157
Corrientes,55723
Córdoba,1833282
Entre Rios,187930
Formosa,28142
Jujuy,32282
La Pampa,108001
La Rioja,40361
Mendoza,93172
Misiones,165028
Neuquén,358562
Río Negro,149704
Salta,493967
San Juan,152115
San Luis,106909
Santa Cruz,16263
Santa Fe,509956
Santiago del Estero,28952
Tierra del Fuego,37694
Tucuman,103034
Unknown,≤100
