Location name,Amount spent (MXN)
Aguascalientes,17235
Baja California,59346
Baja California Sur,24814
Campeche,19984
Chiapas,29507
Chihuahua,55102
Coahuila de Zaragoza,49231
Colima,10840
Distrito Federal,200726
Durango,27336
Guanajuato,45336
Guerrero,16937
Hidalgo,14022
Jalisco,107516
Michoacán de Ocampo,42338
Morelos,28877
Nayarit,9270
Nuevo León,121256
Oaxaca,21262
Puebla,62820
Querétaro Arteaga,39100
Quintana Roo,63071
San Luis Potosi,27475
Sinaloa,37974
Sonora,60096
State of Mexico,90146
Tabasco,13674
Tamaulipas,50008
Tlaxcala,7245
Unknown,≤100
Veracruz,71737
Yucatán,55353
Zacatecas,9416
