Location name,Amount spent (TWD)
Changhua,5421
Chiayi,1089
Hsinchu,3449
Hsinchu City,5343
Hualien,2538
Kaohsiung,20732
Keelung City,2531
Kinmen,347
Lienchiang,≤100
Miaoli,2980
Nantou,2153
New Taipei City,33017
Penghu,795
Pingtung,4664
Taichung,23133
Tainan,13149
Taipei,29964
Taitung,1591
Taoyuan City,18894
Unknown,2434
Yilan,2684
Yunlin,3432
