Location name,Amount spent (BRL)
Acre (state),551
Alagoas,3057
Amapá,822
Amazonas,5521
Bahia,12076
Ceará,9383
Espírito Santo,4308
Federal District,4508
Goiás,7736
Maranhão,7642
Mato Grosso,6667
Mato Grosso do Sul,4168
Minas Gerais,31904
Paraná,10368
Paraíba,5194
Pará,9093
Pernambuco,9678
Piauí,3786
Rio Grande do Norte,3572
Rio Grande do Sul,12359
Rio de Janeiro (state),22381
Rondônia,1965
Roraima,1199
Santa Catarina,9127
Sergipe,2668
São Paulo (state),65537
Tocantins,1673
Unknown,≤100
