Location name,Amount spent (NZD)
Auckland Region,3784
Bay of Plenty Region,494
Canterbury,1115
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,301
Manawatu-Wanganui,507
Marlborough Region,≤100
Nelson Province,137
Northland Region,413
Otago,425
Southland,160
Taranaki,317
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,718
Wellington Region,913
West Coast,≤100
