Location name,Amount spent (USD)
Azuay Province,476
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,147
Cotopaxi Province,173
El Oro Province,925
Esmeraldas Province,197
Galápagos Province,≤100
Guayas Province,1835
Imbabura Province,162
Loja Province,≤100
Los Ríos Province,887
Manabí Province,690
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,139
Pastaza Province,≤100
Pichincha Province,1097
Santa Elena Province,157
Santo Domingo de los Tsáchilas Province,840
Sucumbíos Province,106
Tungurahua Province,165
Unknown,≤100
Zamora-Chinchipe Province,≤100
