Location name,Amount spent (BRL)
Acre (state),312
Alagoas,1087
Amapá,580
Amazonas,6336
Bahia,5670
Ceará,5106
Espírito Santo,3290
Federal District,3566
Goiás,6804
Maranhão,2832
Mato Grosso,2182
Mato Grosso do Sul,1287
Minas Gerais,14445
Paraná,5381
Paraíba,1487
Pará,3682
Pernambuco,7444
Piauí,1428
Rio Grande do Norte,1503
Rio Grande do Sul,8149
Rio de Janeiro (state),11212
Rondônia,981
Roraima,311
Santa Catarina,4383
Sergipe,895
São Paulo (state),29282
Tocantins,570
Unknown,≤100
