Location name,Amount spent (RON)
Alba County,1051
Arad County,353
Argeș County,469
Bacău County,671
Bihor County,486
Bistrița-Năsăud County,224
Botoșani County,379
Brașov County,1088
Brăila County,233
Bucharest,2585
Buzău County,349
Caraș-Severin County,221
Cluj County,993
Constanța County,858
Covasna County,225
Călărași County,188
Dolj County,406
Dâmbovița County,346
Galați County,399
Giurgiu County,131
Gorj County,272
Harghita County,418
Hunedoara County,513
Ialomița County,260
Iași County,1332
Ilfov County,335
Maramureș County,562
Mehedinți County,176
Mureș County,652
Neamț County,717
Olt County,213
Prahova County,812
Satu Mare County,298
Sibiu County,460
Suceava County,723
Sălaj County,216
Teleorman County,174
Timiș County,698
Tulcea County,134
Unknown,≤100
Vaslui County,263
Vrancea County,531
Vâlcea County,523
