Location name,Amount spent (USD)
Alabama,8933
Alaska,2600
American Samoa,≤100
Arizona,26890
Arkansas,6331
California,111182
Colorado,19230
Connecticut,12284
Delaware,3775
Florida,66410
Georgia,25590
Guam,≤100
Hawaii,3190
Idaho,6448
Illinois,36967
Indiana,13970
Iowa,10721
Kansas,7025
Kentucky,16316
Louisiana,15993
Maine,4407
Maryland,26193
Massachusetts,17391
Michigan,29372
Minnesota,24233
Mississippi,7994
Missouri,14795
Montana,4772
Nebraska,5856
Nevada,14805
New Hampshire,5079
New Jersey,31130
New Mexico,7785
New York,57220
North Carolina,33638
North Dakota,1398
Northern Mariana Islands,≤100
Ohio,34950
Oklahoma,11423
Oregon,17754
Pennsylvania,112235
Puerto Rico,≤100
Rhode Island,3394
South Carolina,13393
South Dakota,1687
Tennessee,18232
Texas,108364
Unknown,109
Utah,7241
Vermont,1505
Virgin Islands (U.S.),≤100
Virginia,30163
Washington,20366
"Washington, District of Columbia",11318
West Virginia,7251
Wisconsin,20007
Wyoming,1615
