Location name,Amount spent (CHF)
Aargau,295
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,232
Basel-Landschaft,≤100
Bern,462
Canton of Geneva,2731
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,196
Fribourg,127
Graubünden,≤100
Jura,≤100
Luzern,4361
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,1236
Unknown,≤100
Uri,≤100
Valais,170
Vaud,465
Zug,≤100
Zürich,830
