Location name,Amount spent (HUF)
Baranya County,69996
Borsod-Abaúj-Zemplén County,121819
Budapest,462978
Bács-Kiskun County,94108
Békés County,62618
Csongrád County,116686
Fejér County,89114
Győr-Moson-Sopron County,81235
Hajdú-Bihar County,93743
Heves County,60216
Jász-Nagykun-Szolnok County,68811
Komárom-Esztergom County,58065
Nógrád County,33845
Pest County,184976
Somogy County,59783
Szabolcs-Szatmár-Bereg County,131596
Tolna County,42560
Unknown,156
Vas County,62218
Veszprém County,60969
Zala County,58135
