Location name,Amount spent (IDR)
Aceh,612862
Bali,1479893
Bangka–Belitung Islands,330478
Banten,4034367
Bengkulu,552245
Central Java,6402368
Central Kalimantan,823751
Central Sulawesi,783935
East Java,8989252
East Kalimantan,1652004
East Nusa Tenggara,1053137
Gorontalo,520779
Jakarta,6305689
Jambi,661814
Lampung,3000826
Maluku,490145
North Kalimantan,256141
North Maluku,426556
North Sulawesi,1468301
North Sumatra,4170473
Papua (province),764070
Riau,3657363
Riau Islands Province,633215
South Kalimantan,947926
South Sulawesi,3288395
South Sumatra,2663589
Southeast Sulawesi,601340
Special Region of Yogyakarta,2399232
Unknown,891
West Java,7729395
West Kalimantan,1087201
West Nusa Tenggara,1110824
West Papua,378442
West Sulawesi,364351
West Sumatra,902684
