Location name,Amount spent (IDR)
Aceh,899092
Bali,2616285
Bangka–Belitung Islands,455236
Banten,4468712
Bengkulu,766071
Central Java,7544625
Central Kalimantan,864288
Central Sulawesi,1169110
East Java,10794823
East Kalimantan,2053915
East Nusa Tenggara,1708265
Gorontalo,781240
Jakarta,8146512
Jambi,1024619
Lampung,1890125
Maluku,942746
North Kalimantan,349558
North Maluku,940837
North Sulawesi,3098609
North Sumatra,5088111
Papua (province),1110369
Riau,2339074
Riau Islands Province,1094468
South Kalimantan,1041265
South Sulawesi,3170116
South Sumatra,2678570
Southeast Sulawesi,901526
Special Region of Yogyakarta,1559052
Unknown,2530
West Java,14239432
West Kalimantan,1577968
West Nusa Tenggara,1599977
West Papua,604097
West Sulawesi,511901
West Sumatra,1375025
