Location name,Amount spent (CZK)
Central Bohemian Region,6810
Hradec Králové Region,2764
Karlovy Vary Region,1786
Liberec Region,2175
Moravian-Silesian Region,6533
Olomouc Region,3316
Pardubice Region,2325
Plzeň Region,4184
Prague,15821
South Bohemian Region,4253
South Moravian Region,6831
Unknown,≤100
Vysočina Region,2115
Zlín Region,2856
Ústí nad Labem Region,4421
