Location name,Amount spent (VND)
An Giang Province,20352
Bà Rịa–Vũng Tàu Province,35335
Bình Dương Province,66801
Bình Phước Province,21804
Bình Thuận Province,30429
Bình Định Province,14775
Bạc Liêu Province,5462
Bắc Giang Province,34784
Bắc Kạn Province,4572
Bắc Ninh Province,34853
Bến Tre Province,11003
Cao Bằng Province,8277
Cà Mau Province,31727
Cần Thơ,37979
Da Nang,53210
Gia Lai Province,70026
Haiphong,75987
Ho Chi Minh City,432402
Hà Giang Province,15482
Hà Nam Province,9955
Hà Tĩnh Province,30675
Hòa Bình Province,5122
Hưng Yên Province,14543
Hải Dương Province,36552
Hậu Giang Province,16385
Khánh Hòa Province,48889
Kiên Giang Province,23236
Kon Tum Province,11792
Lai Châu Province,3312
Long An Province,31661
Lào Cai Province,10575
Lâm Đồng Province,28692
Lạng Sơn Province,20226
Nam Định Province,12579
Nghệ An Province,83667
Ninh Bình Province,7355
Ninh Thuận Province,6003
Phú Thọ Province,15918
Phú Yên Province,13020
Quảng Bình Province,11473
Quảng Nam Province,24811
Quảng Ngãi Province,12394
Quảng Ninh Province,55181
Quảng Trị Province,12003
Sóc Trăng Province,12255
Sơn La Province,19130
Thanh Hóa Province,58907
Thái Bình Province,10542
Thái Nguyên Province,15937
Thừa Thiên–Huế Province,65422
Tiền Giang Province,15997
Trà Vinh Province,12930
Tuyên Quang Province,10085
Tây Ninh Province,19250
Vĩnh Long Province,10184
Vĩnh Phúc Province,7205
Yên Bái Province,7798
Điện Biên Province,10929
Đắk Lắk Province,78444
Đắk Nông Province,12036
Đồng Nai Province,80635
Đồng Tháp Province,14980
