Location name,Amount spent (PKR)
Azad Kashmir,960
Balochistan,1909
Federally Administered Tribal Areas,111
Gilgit-Baltistan,654
Islamabad Capital Territory,2253
Khyber Pakhtunkhwa,8212
Punjab,28688
Sindh,14235
Unknown,≤100
