Location name,Amount spent (MYR)
Johor,617
Kedah,216
Kelantan,122
Kuala Lumpur,401
Labuan,≤100
Malacca,≤100
Negeri Sembilan,115
Pahang,145
Penang,193
Perak,224
Perlis,≤100
Putrajaya,≤100
Sabah,254
Sarawak,278
Selangor,822
Terengganu,134
Unknown,≤100
