Location name,Amount spent (HUF)
Baranya County,151332
Borsod-Abaúj-Zemplén County,220555
Budapest,980293
Bács-Kiskun County,206516
Békés County,127363
Csongrád County,174703
Fejér County,185501
Győr-Moson-Sopron County,199535
Hajdú-Bihar County,207390
Heves County,116008
Jász-Nagykun-Szolnok County,142731
Komárom-Esztergom County,133530
Nógrád County,68446
Pest County,471105
Somogy County,109468
Szabolcs-Szatmár-Bereg County,189525
Tolna County,86501
Unknown,≤100
Vas County,114865
Veszprém County,136502
Zala County,111565
