Location name,Amount spent (EGP)
Al Sharqia Governorate,932
Alexandria Governorate,947
Aswan Governorate,141
Asyut Governorate,440
Beheira Governorate,531
Beni Suef Governorate,227
Cairo Governorate,2275
Dakahlia Governorate,955
Damietta Governorate,285
Faiyum Governorate,223
Gharbia Governorate,992
Giza Governorate,5072
Ismailia Governorate,293
Kafr el-Sheikh Governorate,417
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,424
Monufia Governorate,590
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,173
Qalyubia Governorate,1119
Qena Governorate,306
Red Sea Governorate,≤100
Sohag Governorate,418
South Sinai Governorate,≤100
Suez Governorate,104
Unknown,≤100
