Location name,Amount spent (COP)
Amazonas,7276
Antioquia,2362851
Arauca,29291
Atlantico,597317
Bolivar,336891
Boyaca,112345
Caldas,150003
Caqueta,62946
Casanare,122984
Cauca,170575
Cesar,133354
Choco,36512
Cordoba,148985
Cundinamarca,410575
Distrito Especial,1926038
Guainia,2930
Guaviare,8348
Huila,299638
La Guajira,78115
Magdalena,221264
Meta,290618
Narino,153719
Norte de Santander,216829
Putumayo,37441
Quindio,77587
Risaralda,637694
San Andres y Providencia,6032
Santander,260308
Sucre,494162
Tolima,309698
Unknown,115
Valle del Cauca,1364682
Vaupes,2300
Vichada,3436
