Location name,Amount spent (TWD)
Changhua,7327
Chiayi,1925
Hsinchu,3798
Hsinchu City,5569
Hualien,3045
Kaohsiung,24187
Keelung City,3038
Kinmen,451
Lienchiang,≤100
Miaoli,3197
Nantou,3000
New Taipei City,35802
Penghu,518
Pingtung,4552
Taichung,25868
Tainan,17059
Taipei,27051
Taitung,1607
Taoyuan City,24386
Unknown,3191
Yilan,2509
Yunlin,4045
