Location name,Amount spent (PLN)
Greater Poland Voivodeship,4466
Kuyavian-Pomeranian Voivodeship,2537
Lesser Poland Voivodeship,3933
Lower Silesian Voivodeship,4262
Lublin Voivodeship,2004
Lubusz Voivodeship,1374
Masovian Voivodeship,9080
Opole Voivodeship,1057
Podkarpackie Voivodeship,1731
Podlaskie Voivodeship,1167
Pomeranian Voivodeship,2862
Silesian Voivodeship,5473
Unknown,≤100
Warmian-Masurian Voivodeship,1289
West Pomeranian Voivodeship,2175
Łódź Voivodeship,4633
Świętokrzyskie Voivodeship,1198
