Location name,Amount spent (JMD)
Clarendon Parish,124
Hanover Parish,≤100
Kingston Parish,≤100
Manchester Parish,148
Portland Parish,≤100
Saint Andrew Parish,938
Saint Ann Parish,153
Saint Catherine Parish,352
Saint Elizabeth Parish,≤100
Saint James Parish,159
Saint Mary Parish,≤100
Saint Thomas Parish,≤100
Trelawny Parish,≤100
Unknown,≤100
Westmoreland Parish,≤100
