Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,190
Apurímac Region,≤100
Arequipa Region,335
Ayacucho Region,152
Cajamarca Region,167
Callao,111
Cusco Region,317
Huancavelica Region,≤100
Huánuco Region,101
Ica Region,226
Junín Region,193
La Libertad Region,300
Lambayeque Region,220
Lima Region,1856
Loreto Region,112
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,225
Puno Region,316
San Martín Region,146
Tacna Region,109
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
