Location name,Amount spent (HTG)
Artibonite Department,316
Centre Department,≤100
Grand'Anse Department,≤100
Nippes Department,≤100
Nord Department,159
Nord-Est Department,≤100
Nord-Ouest Department,≤100
Ouest Department,1127
Sud Department,≤100
Sud-Est Department,≤100
Unknown,≤100
