Location name,Amount spent (PKR)
Azad Kashmir,840
Balochistan,3417
Federally Administered Tribal Areas,327
Gilgit-Baltistan,583
Islamabad Capital Territory,1229
Khyber Pakhtunkhwa,10545
Punjab,30798
Sindh,8051
Unknown,≤100
