Location name,Amount spent (RON)
Alba County,811
Arad County,790
Argeș County,1013
Bacău County,777
Bihor County,886
Bistrița-Năsăud County,436
Botoșani County,712
Brașov County,940
Brăila County,430
Bucharest,6283
Buzău County,527
Caraș-Severin County,336
Cluj County,1484
Constanța County,1370
Covasna County,320
Călărași County,290
Dolj County,888
Dâmbovița County,630
Galați County,826
Giurgiu County,311
Gorj County,516
Harghita County,570
Hunedoara County,625
Ialomița County,382
Iași County,1748
Ilfov County,753
Maramureș County,747
Mehedinți County,317
Mureș County,961
Neamț County,625
Olt County,437
Prahova County,1243
Satu Mare County,474
Sibiu County,684
Suceava County,850
Sălaj County,402
Teleorman County,355
Timiș County,1722
Tulcea County,251
Unknown,≤100
Vaslui County,400
Vrancea County,785
Vâlcea County,829
