Location name,Amount spent (IDR)
Aceh,1381648
Bali,2607671
Bangka–Belitung Islands,421817
Banten,4556027
Bengkulu,820901
Central Java,14356760
Central Kalimantan,902035
Central Sulawesi,1060207
East Java,16322063
East Kalimantan,1841739
East Nusa Tenggara,2484402
Gorontalo,696277
Jakarta,7361082
Jambi,794390
Lampung,4482300
Maluku,707441
North Kalimantan,220463
North Maluku,318932
North Sulawesi,2097755
North Sumatra,7068844
Papua (province),873485
Riau,3234299
Riau Islands Province,1023467
South Kalimantan,1181855
South Sulawesi,4686098
South Sumatra,4790613
Southeast Sulawesi,598901
Special Region of Yogyakarta,2180646
Unknown,6355
West Java,13048694
West Kalimantan,1818174
West Nusa Tenggara,1554813
West Papua,406432
West Sulawesi,362226
West Sumatra,1168903
