Location name,Amount spent (PKR)
Azad Kashmir,858
Balochistan,2777
Federally Administered Tribal Areas,858
Gilgit-Baltistan,559
Islamabad Capital Territory,1614
Khyber Pakhtunkhwa,8812
Punjab,28523
Sindh,11225
Unknown,≤100
