Location name,Amount spent (CLP)
Antofagasta Region,192697
Araucanía Region,321455
Arica y Parinacota Region,88419
Atacama Region,110586
Aysén Region,42415
Bío Bío Region,747015
Coquimbo Region,303503
Los Lagos Region,262225
Los Ríos Region,126439
Magallanes y la Antártica Chilena Region,58223
Maule Region,343164
O'Higgins Region,278257
Santiago Metropolitan Region,3373714
Tarapacá Region,75341
Unknown,1660
Valparaíso Region,665616
