Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,9203,341
102329728050606,Yes23,Yes23,4876,104
119271104477423,Save Your Local Pharmacy,The Pharmacy Guild of Australia,3993,50
334563333634959,Australian Government Department of Education,Australian Government Department of Education,2636,7
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,2193,31
299753643444311,AEC,Australian Electoral Commission,2005,2
308746806571901,Advance Australia,Advance Australia,1408,2
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,1389,2
233539463360143,Mining & Energy Union,CFMEU Mining & Energy,1191,11
10113538711,WWF-Australia,WWF-Australia,1185,5
1776727752614025,Glencore,Glencore Australia,1077,13
105140971475089,Chuffed.org - Australia,Chuffed.org,955,8
160054227468,World Vision Australia,World Vision Australia,839,11
104180525925926,Fair Australia,Advance Australia,806,19
1414406035466037,Jeremy Rockliff,Jeremy Rockliff,787,26
92824008332,Plan International Australia,Plan International Australia,745,14
89794331215,Oxfam,Oxfam Australia,729,54
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,709,10
172094012830551,Australian Paralympic Team,Paralympics Australia,701,26
100124836460077,Magenta Marshall - Labor for Rockingham,WA Labor,667,7
184543928960,National Party of Australia,National Party of Australia,649,3
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,584,12
231341250224498,Australian Ethical Investment,Australian Ethical Investment,581,20
471390022952217,APPEA - Our Natural Advantage,APPEA,478,44
103259978010848,SA Government,South Australian Government,466,40
694832627392516,Prime Super,Prime Super,456,20
494820897261439,Bank Australia,Bank Australia,410,26
447447719391089,Health Care Providers Association,Health Care Providers Association,405,6
125812604095801,Invasive Species Council,Invasive Species Council,381,53
1445863699024135,Business Council of Australia,Business Council of Australia,378,15
117806591312470,Not Enough,Advance Australia,334,13
352953834815624,Jason Wood MP,Jason Wood MP,309,7
206540052690401,Jean Hailes for Women's Health,Jean Hailes for Women's Health,300,11
8422338499,The Wilderness Society,The Wilderness Society,290,28
137619162220,Liberals WA,Liberals WA,283,4
107939487783753,Garth Hamilton MP,Garth Hamilton MP,279,13
223820240968967,Western Australian Electoral Commission,Western Australian Electoral Commission,273,2
100162559396,The Australia Institute,The Australia Institute,255,4
181578525342930,Master Builders Australia,Master Builders Australia,253,28
125627804305487,Rick Wilson,Rick Wilson,246,6
113998151684022,Referendum News,Advance Australia,237,12
105348385388237,Senator Babet,Senator Babet,231,8
113115292085361,DrinkWise,DrinkWise,229,10
108287892602643,CFMEU - Construction & General,CFMEU - Construction & General,222,2
108695110952294,Greens MPs,Greens MPs,206,4
114071581968095,Liptember,Liptember,200,93
154796877889890,The Hospital Research Foundation Group,The Hospital Research Foundation Group,199,16
272757739102,Engineers Australia,Engineers Australia,198,10
100385049145414,Allegra Spender,Allegra Spender MP,193,10
200819325600,ActionAid Australia,ActionAid Australia,192,45
279645455502809,Ross Vasta MP,Ross Vasta MP,176,3
117058357932949,Constitutional Equality,Constitutional Equality,174,3
397307097023253,Justine Elliot MP,Justine Elliot MP,173,1
1606464386255025,Western Rivers Alliance,Western Rivers Alliance,172,32
59024478936,Monash University,Monash University,171,13
100492139310916,Australian Assange Campaign,Australian Assange Campaign,163,3
118601381509264,Public Transport Victoria,Public Transport Victoria,162,1
106791108597531,Future of Local Government Review - Tasmanian Government,Department of Premier and Cabinet,159,6
144975872321975,Market Forces,Market Forces,157,9
952274664938382,Phillip Thompson OAM MP - Serving Our Community,Phillip Thompson OAM MP,154,1
185738798123705,South Australian Labor,South Australian Labor,147,1
461218903956271,Sperm Donors Australia,Sperm Donors Australia,146,16
523586527672529,Annastacia Palaszczuk MP,Annastacia Palaszczuk MP,146,7
100356216050100,Family First Party Australia,Family First Party Australia Ltd,145,11
100967115751672,Marinus Link,Marinus Link Pty Ltd,145,8
