Location name,Amount spent (BMD)
Devonshire Parish,≤100
Hamilton Parish,≤100
Paget Parish,≤100
Sandys Parish,≤100
Smith's Parish,≤100
Southampton Parish,≤100
St. George's Parish,≤100
Warwick Parish,≤100
