Location name,Amount spent (PYG)
Alto Paraguay Department,121305
Alto Paraná Department,412045
Amambay Department,27921
Asunción,613840
Boquerón department,39118
Caaguazú Department,137779
Caazapá Department,34637
Canindeyú Department,30648
Central Department,1806387
Concepción Department (Paraguay),29825
Cordillera Department,53157
Guairá Department,69479
Itapúa Department,168712
Misiones Department,23625
Paraguarí Department,50382
Presidente Hayes Department,34271
San Pedro Department,43767
Unknown,≤100
Ñeembucú Department,20074
