Location name,Amount spent (EGP)
Al Sharqia Governorate,1759
Alexandria Governorate,1182
Aswan Governorate,150
Asyut Governorate,364
Beheira Governorate,572
Beni Suef Governorate,197
Cairo Governorate,2316
Dakahlia Governorate,1117
Damietta Governorate,404
Faiyum Governorate,193
Gharbia Governorate,572
Giza Governorate,811
Ismailia Governorate,397
Kafr el-Sheikh Governorate,409
Luxor Governorate,109
Matrouh Governorate,≤100
Minya Governorate,354
Monufia Governorate,398
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,227
Qalyubia Governorate,507
Qena Governorate,247
Red Sea Governorate,≤100
Sohag Governorate,332
South Sinai Governorate,≤100
Suez Governorate,106
Unknown,≤100
