Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,254
Bangkok,8707
Bueng Kan,≤100
Buriram,281
Chachoengsao,208
Chai Nat,≤100
Chaiyaphum,203
Chanthaburi,163
Chiang Mai,895
Chiang Rai,317
Chon Buri,743
Chumphon,170
Kalasin,146
Kamphaeng Phet,1100
Kanchanaburi,197
Khon Kaen,578
Krabi,184
Lampang,188
Lamphun,125
Loei,141
Lop Buri,157
Mae Hong Son,≤100
Maha Sarakham,207
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,225
Nakhon Phanom,134
Nakhon Ratchasima,673
Nakhon Sawan,216
Nakhon Si Thammarat,437
Nan,115
Narathiwat,194
Nong Bua Lam Phu,≤100
Nong Khai,125
Nonthaburi,547
Pathum Thani,401
Pattani,246
Phangnga,≤100
Phatthalung,137
Phayao,120
Phetchabun,174
Phetchaburi,155
Phichit,132
Phitsanulok,547
Phrae,113
Phuket,512
Prachin Buri,127
Prachuap Khiri Khan,132
Ranong,≤100
Ratchaburi,183
Rayong,320
Roi Et,214
Sa Kaeo,111
Sakon Nakhon,346
Samut Prakan,258
Samut Sakhon,193
Samut Songkhram,≤100
Saraburi,187
Satun,≤100
Sing Buri,≤100
Sisaket,272
Songkhla,2967
Sukhothai,276
Suphan Buri,171
Surat Thani,369
Surin,258
Tak,176
Trang,174
Trat,≤100
Ubon Ratchathani,419
Udon Thani,350
Unknown,≤100
Uthai Thani,≤100
Uttaradit,104
Yala Province,191
Yasothon,489
