Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,17339,3
265843867173714,La Revista,La Revista,6102,4
216239121726959,Mandaguevo,Mandaguevo,3251,1
1697191247176676,Diego Miranda Méndez,Diego Miranda Méndez,2728,2
100248039454311,Mi Canton Digital,Mi Canton Digital,2709,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1962,2
100508562815254,Juan Diego González Picado,Juan Diego González Picado,1626,1
102933044827654,Nosara Crece,These ads ran without a disclaimer,1414,1
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1084,1
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,818,1
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,542,1
103532292462368,WIRED en español,These ads ran without a disclaimer,≤100,1
116581421373488,Fast QR& Easy Link-0417-L1,These ads ran without a disclaimer,≤100,1
105318018396730,HEMOFILIA EN POSITIVO,These ads ran without a disclaimer,≤100,1
102984361463961,Igrow Academy,These ads ran without a disclaimer,≤100,1
106307205764231,Z-48-pro,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
104495545637352,Vision,These ads ran without a disclaimer,≤100,1
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,≤100,1
