Location name,Amount spent (GTQ)
Alta Verapaz Department,1805
Baja Verapaz Department,571
Chimaltenango Department,1084
Chiquimula Department,1354
El Progreso Department,327
Escuintla Department,1930
Guatemala Department,28603
Huehuetenango Department,3469
Izabal Department,1799
Jalapa Department,539
Jutiapa Department,1117
Petén Department,1146
Quetzaltenango Department,4593
Quiché Department,1674
Retalhuleu Department,965
Sacatepéquez Department,1816
San Marcos Department,8049
Santa Rosa Department,521
Sololá Department,1131
Suchitepéquez Department,1476
Totonicapán Department,1104
Unknown,≤100
Zacapa Department,686
