Location name,Amount spent (GTQ)
Alta Verapaz Department,190
Baja Verapaz Department,≤100
Chimaltenango Department,110
Chiquimula Department,101
El Progreso Department,≤100
Escuintla Department,208
Guatemala Department,9725
Huehuetenango Department,218
Izabal Department,170
Jalapa Department,≤100
Jutiapa Department,115
Petén Department,≤100
Quetzaltenango Department,363
Quiché Department,129
Retalhuleu Department,≤100
Sacatepéquez Department,135
San Marcos Department,519
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,104
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
