Location name,Amount spent (TWD)
Changhua,8882
Chiayi,2377
Hsinchu,4172
Hsinchu City,6886
Hualien,3894
Kaohsiung,27933
Keelung City,3411
Kinmen,589
Lienchiang,≤100
Miaoli,4518
Nantou,3435
New Taipei City,44590
Penghu,739
Pingtung,6176
Taichung,32312
Tainan,19085
Taipei,33833
Taitung,1756
Taoyuan City,28973
Unknown,4171
Yilan,3013
Yunlin,5317
