Location name,Amount spent (BRL)
Acre (state),332
Alagoas,1050
Amapá,350
Amazonas,2713
Bahia,4700
Ceará,4529
Espírito Santo,1895
Federal District,2282
Goiás,3665
Maranhão,2807
Mato Grosso,3560
Mato Grosso do Sul,1807
Minas Gerais,9615
Paraná,6213
Paraíba,1676
Pará,2795
Pernambuco,4960
Piauí,1174
Rio Grande do Norte,1573
Rio Grande do Sul,8252
Rio de Janeiro (state),9054
Rondônia,766
Roraima,355
Santa Catarina,4782
Sergipe,1131
São Paulo (state),35233
Tocantins,750
Unknown,≤100
