Location name,Amount spent (CAD)
Alberta,13279
British Columbia,17059
Manitoba,3414
New Brunswick,1881
Newfoundland and Labrador,1063
Northwest Territories,163
Nova Scotia,1509
Nunavut,159
Ontario,26099
Prince Edward Island,754
Quebec,25072
Saskatchewan,2015
Unknown,≤100
Yukon,148
