Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,829
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,15182
Paysandú Department,7313
Rivera Department,146
Rocha Department,≤100
Río Negro Department,240
Salto Department,≤100
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
