Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,1699992
Apure,902496
Aragua,2298331
Barinas,2042491
Bolívar (state),2500000
Capital District,4750000
Carabobo,2766272
Cojedes,567848
Delta Amacuro,≤100
Falcón,1000000
Guárico,662497
Lara,2122490
Miranda (state),2000000
Monagas,1500000
Mérida,2750000
Nueva Esparta,1242494
Portuguesa,682520
Sucre,750000
Trujillo,77500
Táchira,21190423
Vargas,750000
Yaracuy,1379994
Zulia,5500000
