Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
573559522797177,Flokkur fólksins,Flokkur Fólksins,6722,3
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,5092,2
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,2914,2
106979180938014,Samstöðin,Samstöðin ehf,2448,2
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,1961,2
737169626371453,Heimildin,Stundin,1927,1
116586928363474,Borgarleikhúsið,Borgarleikhúsið,1641,2
154893001218870,ADHD samtökin,ADHD samtökin,1565,5
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,1497,5
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,1429,1
201037343748,Sjálfstæðisflokkurinn í Reykjavík,Sjálfstæðisflokkurinn,1149,1
102133046017049,Evrópuhreyfingin,Evrópuhreyfingin,1077,1
150527706082,Félag Sameinuðu þjóðanna á Íslandi,These ads ran without a disclaimer,515,1
709976082356679,Samfylkingin í Kópavogi,Samfylkingin Kópavogi,460,1
112564955077010,News,These ads ran without a disclaimer,305,1
103123311914005,Elva Hrönn Hjartardóttir,Elva Hrönn Hjartardóttir,199,3
1434262256802295,Borgarbyggð,Borgarbyggð,166,1
143109705880676,Framsókn í Mosfellsbæ,Framsóknarfélag Mosfellsbæjar,≤100,1
581045078625669,Sweettatt Balm,These ads ran without a disclaimer,≤100,2
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
332476724335,Retap,These ads ran without a disclaimer,≤100,1
111190855227233,EU 24,These ads ran without a disclaimer,≤100,1
153063591397681,Amazon Web Services,These ads ran without a disclaimer,≤100,1
347614259651377,Carter Five,These ads ran without a disclaimer,≤100,4
48034275355,EPP - European People's Party,These ads ran without a disclaimer,≤100,1
159655254060987,zChocolat.com,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,3
