Location name,Amount spent (TRY)
Adana Province,877
Adıyaman Province,128
Afyonkarahisar Province,175
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1515
Antalya Province,1571
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,411
Ağrı Province,≤100
Balıkesir Province,284
Bartın Province,≤100
Batman Province,102
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,581
Denizli Province,178
Diyarbakır Province,243
Düzce Province,112
Edirne Province,278
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,213
Gaziantep Province,547
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,674
Isparta Province,≤100
Istanbul Province,4706
Iğdır Province,≤100
Kahramanmaraş Province,301
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,570
Kilis Province,≤100
Kocaeli Province,211
Konya Province,260
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,152
Manisa Province,268
Mardin Province,106
Mersin Province,537
Muğla Province,217
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,112
Osmaniye Province,151
Rize Province,≤100
Sakarya Province,611
Samsun Province,415
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,146
Tokat Province,≤100
Trabzon Province,106
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,113
Çanakkale Province,161
Çankırı Province,≤100
Çorum Province,163
İzmir Province,2016
Şanlıurfa Province,236
Şırnak Province,≤100
