Location name,Amount spent (SEK)
Blekinge County,3370
Dalarna County,6805
Gotland County,1699
Gävleborg County,6860
Halland County,6984
Jämtland County,3207
Jönköping County,7433
Kalmar County,5025
Kronoberg County,3817
Norrbotten County,6981
Skåne County,31210
Stockholm County,57116
Södermanland County,6903
Unknown,≤100
Uppsala County,9626
Värmland County,5916
Västerbotten County,7180
Västernorrland County,6165
Västmanland County,6277
Västra Götaland County,45537
Örebro County,6637
Östergötland County,10124
