Location name,Amount spent (EGP)
Al Sharqia Governorate,2182
Alexandria Governorate,3132
Aswan Governorate,462
Asyut Governorate,993
Beheira Governorate,1513
Beni Suef Governorate,689
Cairo Governorate,6709
Dakahlia Governorate,2437
Damietta Governorate,647
Faiyum Governorate,719
Gharbia Governorate,2080
Giza Governorate,1925
Ismailia Governorate,650
Kafr el-Sheikh Governorate,1001
Luxor Governorate,490
Matrouh Governorate,123
Minya Governorate,1106
Monufia Governorate,1501
New Valley Governorate,122
North Sinai Governorate,239
Port Said Governorate,475
Qalyubia Governorate,1858
Qena Governorate,1006
Red Sea Governorate,293
Sohag Governorate,1101
South Sinai Governorate,≤100
Suez Governorate,324
Unknown,≤100
