Location name,Amount spent (AUD)
Australian Capital Territory,1164
Jervis Bay Territory,≤100
New South Wales,60195
Northern Territory,586
Queensland,12720
South Australia,6265
Tasmania,1589
Unknown,≤100
Victoria,12585
Western Australia,5761
