Location name,Amount spent (MXN)
Aguascalientes,16573
Baja California,51491
Baja California Sur,6863
Campeche,22297
Chiapas,26202
Chihuahua,39517
Coahuila de Zaragoza,452591
Colima,11642
Distrito Federal,229289
Durango,17952
Guanajuato,46666
Guerrero,16541
Hidalgo,16948
Jalisco,144046
Michoacán de Ocampo,39818
Morelos,27488
Nayarit,10789
Nuevo León,84252
Oaxaca,31634
Puebla,64572
Querétaro Arteaga,18110
Quintana Roo,41714
San Luis Potosi,21198
Sinaloa,19247
Sonora,23728
State of Mexico,458006
Tabasco,24008
Tamaulipas,41258
Tlaxcala,7591
Unknown,≤100
Veracruz,41695
Yucatán,43168
Zacatecas,8751
