Location name,Amount spent (PYG)
Alto Paraguay Department,8385
Alto Paraná Department,1236649
Amambay Department,135822
Asunción,1089642
Boquerón department,50194
Caaguazú Department,466781
Caazapá Department,103874
Canindeyú Department,109636
Central Department,3466123
Concepción Department (Paraguay),123566
Cordillera Department,245176
Guairá Department,125129
Itapúa Department,486314
Misiones Department,124502
Paraguarí Department,141249
Presidente Hayes Department,100256
San Pedro Department,205397
Unknown,471
Ñeembucú Department,114002
