Location name,Amount spent (INR)
Andaman and Nicobar Islands,404
Andhra Pradesh,75657
Arunachal Pradesh,3018
Assam,20899
Bihar,53663
Chandigarh,2742
Chhattisgarh,30033
Dadra and Nagar Haveli,936
Delhi,101134
Goa,9269
Gujarat,99753
Haryana,68741
Himachal Pradesh,13934
Jammu and Kashmir,13316
Jharkhand,16573
Karnataka,477337
Kerala,19213
Lakshadweep,≤100
Madhya Pradesh,67782
Maharashtra,305485
Manipur,3493
Meghalaya,2166
Mizoram,751
Nagaland,2288
Odisha,14843
Puducherry,1309
Punjab region,31928
Rajasthan,126553
Sikkim,668
Tamil Nadu,72948
Telangana,90539
Tripura,2971
Unknown,≤100
Uttar Pradesh,137773
Uttarakhand,11774
West Bengal,136367
