Location name,Amount spent (USD)
Adrar Province,≤100
Algiers Province,≤100
Annaba Province,≤100
Aïn Defla Province,≤100
Aïn Témouchent Province,≤100
Batna Province,≤100
Biskra Province,≤100
Blida Province,≤100
Bordj Bou Arréridj Province,≤100
Boumerdès Province,≤100
Bouïra Province,≤100
Béchar Province,≤100
Béjaïa Province,≤100
Chlef Province,≤100
Constantine Province,≤100
Djelfa Province,≤100
El Bayadh Province,≤100
El Oued Province,≤100
El Taref Province,≤100
Ghardaïa Province,≤100
Guelma Province,≤100
Illizi Province,≤100
Jijel Province,≤100
Khenchela Province,≤100
Laghouat Province,≤100
M'Sila Province,≤100
Mascara Province,≤100
Mila Province,≤100
Mostaganem Province,≤100
Médéa Province,≤100
Naâma Province,≤100
Oran Province,≤100
Ouargla Province,≤100
Oum El Bouaghi Province,≤100
Relizane Province,≤100
Saïda Province,≤100
Sidi Bel Abbès Province,≤100
Skikda Province,≤100
Souk Ahras Province,≤100
Sétif Province,≤100
Tamanrasset Province,≤100
Tiaret Province,≤100
Tindouf Province,≤100
Tipaza Province,≤100
Tissemsilt Province,≤100
Tizi Ouzou Province,≤100
Tlemcen Province,≤100
Tébessa Province,≤100
