Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,3220,19
595964430504028,Mayors' Council on Regional Transportation,Mayors' Council on Regional Transportation,3065,15
104386908631938,Pathways Alliance,Pathways Alliance,2886,6
230448456985193,Elections Ontario,Elections Ontario,2512,13
303473312998028,FedEx,FedEx,2160,4
261752512263,Canadian Red Cross,Canadian Red Cross,1742,18
162936387068600,Ontario Public Service Employees Union (OPSEU),Ontario Public Service Employees Union (OPSEU/SEFPO),1513,54
180862678644381,Ontario NDP,Ontario NDP,1259,59
113297740077607,Canadian Energy Centre,Canadian Energy Centre,1175,108
186266941387011,BMO Financial Group,BMO Financial Group,1062,2
154462904588700,Enbridge Gas,Enbridge Gas,1036,84
185083894875909,Pathways to Education Canada / Passeport pour ma réussite Canada,Pathways to Education Canada,979,37
5794733873,David Suzuki Foundation,David Suzuki Foundation,884,23
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,771,101
19750184960,Greenpeace Canada,Greenpeace Canada,712,86
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,710,40
633812813408377,Elections Canada,Elections Canada,705,23
106917558391358,Alliance nouvelles voies,Pathways Alliance,700,2
27321532378,Pierre Poilievre,Conservative Party of Canada - Parti conservateur du Canada,662,4
281999881613,World Vision Canada,World Vision Canada,588,9
1522162571382952,Oceana Canada,Oceana Canada,579,18
367773226675582,The Home Depot,The Home Depot,567,5
168106993245736,Canada Post,Canada Post,554,2
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,552,60
107385241806,Plan International Canada,Plan International Canada,546,42
283487578481273,Énergir,Énergir,514,15
453724058039992,viaSport British Columbia,viaSport British Columbia,487,30
203485052997041,Hospital Employees' Union,Hospital Employees' Union,478,12
1097840090260804,National Police Federation,National Police Federation,430,52
16761458703,University of British Columbia,The University of British Columbia,421,6
132872270152600,SaskEnergy,SaskEnergy,376,2
115835521825983,UNHCR Canada,UNHCR Canada,375,28
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,365,23
31912359596,University of Saskatchewan,University of Saskatchewan,364,13
35715544220,Stand.earth,Stand.earth,351,18
114943114838621,Fuel Forward,Canadian Fuels Association,347,38
143249880633,World Animal Protection Canada,World Animal Protection Canada,327,20
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,322,8
123235041462,The Fraser Institute,Fraser Institute,312,20
108425434716453,Dehors par URBANIA,URBANIA MEDIA,279,7
405377872902754,Canada Action,Canada Action,268,14
612093308848274,Port of Vancouver,Vancouver Fraser Port Authority,267,2
177004795666755,Manitoba Government,Manitoba Government,264,17
9226212436,SaskPower,SaskPower,237,2
10633250963,Save the Children Canada,Save the Children Canada,237,27
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,217,52
169928686425623,UFCW Local 401,UFCW Local 401,217,4
114849617772737,Care2 Canada,Press Pause Collective,213,8
73970658023,International Rescue Committee,These ads ran without a disclaimer,210,13
160136850711053,CUPE Ontario,CUPE Ontario,208,1
473133932730673,Le Support de la Société québécoise de la déficience intellectuelle,Le Support de la Société québécoise de la déficience intellectuelle,208,4
