Location name,Amount spent (COP)
Amazonas,980
Antioquia,3025841
Arauca,15993
Atlantico,746086
Bolivar,383548
Boyaca,73155
Caldas,102768
Caqueta,28503
Casanare,36642
Cauca,268949
Cesar,132739
Choco,21939
Cordoba,77985
Cundinamarca,514075
Distrito Especial,1643561
Guainia,794
Guaviare,3927
Huila,144068
La Guajira,34492
Magdalena,249494
Meta,370482
Narino,101922
Norte de Santander,181612
Putumayo,36917
Quindio,92398
Risaralda,600151
San Andres y Providencia,4479
Santander,236470
Sucre,57158
Tolima,131219
Unknown,≤100
Valle del Cauca,1880842
Vaupes,442
Vichada,697
