Location name,Amount spent (PYG)
Alto Paraguay Department,24986
Alto Paraná Department,769068
Amambay Department,60449
Asunción,895234
Boquerón department,24762
Caaguazú Department,409362
Caazapá Department,55346
Canindeyú Department,68966
Central Department,2166593
Concepción Department (Paraguay),80790
Cordillera Department,176716
Guairá Department,115755
Itapúa Department,336676
Misiones Department,83919
Paraguarí Department,127975
Presidente Hayes Department,37917
San Pedro Department,180453
Unknown,163
Ñeembucú Department,132757
