Location name,Amount spent (NZD)
Auckland Region,4455
Bay of Plenty Region,1003
Canterbury,1897
Gisborne District,125
Hawke's Bay,462
Manawatu-Wanganui,746
Marlborough Region,129
Nelson Province,260
Northland Region,482
Otago,590
Southland,307
Taranaki,333
Tasman District,125
Unknown,≤100
Waikato,1312
Wellington Region,1301
West Coast,≤100
