Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,187
Apurímac Region,≤100
Arequipa Region,237
Ayacucho Region,≤100
Cajamarca Region,151
Callao,215
Cusco Region,162
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,196
Junín Region,151
La Libertad Region,906
Lambayeque Region,189
Lima Region,1693
Loreto Region,116
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,224
Puno Region,168
San Martín Region,118
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
