Location name,Amount spent (PLN)
Greater Poland Voivodeship,5129
Kuyavian-Pomeranian Voivodeship,2448
Lesser Poland Voivodeship,4807
Lower Silesian Voivodeship,3669
Lublin Voivodeship,2479
Lubusz Voivodeship,792
Masovian Voivodeship,9382
Opole Voivodeship,882
Podkarpackie Voivodeship,1593
Podlaskie Voivodeship,916
Pomeranian Voivodeship,2813
Silesian Voivodeship,4008
Unknown,≤100
Warmian-Masurian Voivodeship,1466
West Pomeranian Voivodeship,1976
Łódź Voivodeship,2936
Świętokrzyskie Voivodeship,839
