Location name,Amount spent (PLN)
Greater Poland Voivodeship,4977
Kuyavian-Pomeranian Voivodeship,2554
Lesser Poland Voivodeship,4804
Lower Silesian Voivodeship,3641
Lublin Voivodeship,2514
Lubusz Voivodeship,952
Masovian Voivodeship,8311
Opole Voivodeship,867
Podkarpackie Voivodeship,1981
Podlaskie Voivodeship,1139
Pomeranian Voivodeship,3081
Silesian Voivodeship,5219
Unknown,≤100
Warmian-Masurian Voivodeship,1410
West Pomeranian Voivodeship,1987
Łódź Voivodeship,3163
Świętokrzyskie Voivodeship,1167
